epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.594,0.92796,2.05841,1.26326,0.63321,0.57522,0.64374,0.42843,1.12798,2.33186,1.2525,0.000648649,0.000648649,0.000648649
2,260.964,1.00303,1.50793,1.29353,0.6309,0.60508,0.66234,0.44043,1.28137,2.15004,1.5396,0.00127191,0.00127191,0.00127191
3,388.059,1.05406,1.42335,1.33354,0.52834,0.63717,0.49649,0.32563,1.23265,2.40266,1.59624,0.00185117,0.00185117,0.00185117
4,512.191,1.06057,1.32662,1.32048,0.48612,0.64602,0.57732,0.39618,1.18499,2.34662,1.38767,0.001802,0.001802,0.001802
5,636.078,1.05784,1.20742,1.30218,0.59991,0.65022,0.63114,0.41172,1.33443,1.87914,1.51292,0.001736,0.001736,0.001736
6,773.711,0.99308,1.13395,1.27407,0.53287,0.76106,0.64098,0.45545,1.06699,1.54917,1.2742,0.00167,0.00167,0.00167
7,900.874,0.97895,1.08682,1.25633,0.65197,0.56637,0.61787,0.4577,1.0377,1.7814,1.2907,0.001604,0.001604,0.001604
8,1021.41,0.95446,1.06063,1.24295,0.62213,0.64602,0.56815,0.38126,1.11237,1.44375,1.28116,0.001538,0.001538,0.001538
9,1152.08,0.95812,1.01654,1.23587,0.77135,0.62832,0.72129,0.49896,1.17499,1.27443,1.30079,0.001472,0.001472,0.001472
10,1281.32,0.93467,0.97001,1.23142,0.65203,0.63014,0.68012,0.4585,1.22243,1.37495,1.3935,0.001406,0.001406,0.001406
11,1413.54,0.91783,0.94269,1.2379,0.64489,0.73451,0.72214,0.53066,0.99436,1.16831,1.24884,0.00134,0.00134,0.00134
12,1547.94,0.93368,0.9431,1.23355,0.66608,0.69027,0.71688,0.53128,0.94096,1.17445,1.20886,0.001274,0.001274,0.001274
13,1672.76,0.87826,0.87363,1.17684,0.61077,0.66657,0.70592,0.52056,0.95271,1.2892,1.21596,0.001208,0.001208,0.001208
14,1798.96,0.90089,0.85643,1.1996,0.79831,0.61062,0.7123,0.51824,0.96293,1.2846,1.24212,0.001142,0.001142,0.001142
15,1925.2,0.88283,0.85605,1.19921,0.73288,0.61947,0.68847,0.47942,0.97642,1.19874,1.24417,0.001076,0.001076,0.001076
16,2052.7,0.83735,0.82989,1.16667,0.77911,0.65487,0.78797,0.59623,0.94884,1.04848,1.20194,0.00101,0.00101,0.00101
17,2193.09,0.83195,0.80098,1.16012,0.62199,0.77876,0.73609,0.5436,1.03581,1.20578,1.19045,0.000944,0.000944,0.000944
18,2346.22,0.82151,0.77795,1.16698,0.68084,0.76106,0.76672,0.56533,1.03058,1.00104,1.21339,0.000878,0.000878,0.000878
19,2497.52,0.80957,0.77467,1.14689,0.67181,0.74336,0.74526,0.54448,0.93329,1.02545,1.1749,0.000812,0.000812,0.000812
20,2650.08,0.8121,0.75178,1.15718,0.76542,0.75079,0.79021,0.59558,0.90775,0.97556,1.14526,0.000746,0.000746,0.000746
21,2783.71,0.70177,0.69745,1.08349,0.77087,0.71681,0.78311,0.58125,0.95004,0.97206,1.16191,0.00068,0.00068,0.00068
22,2927.22,0.70511,0.63809,1.09493,0.78782,0.77876,0.82202,0.61132,0.99887,0.9235,1.19618,0.000614,0.000614,0.000614
23,3078.65,0.68436,0.6095,1.07102,0.73569,0.69912,0.76372,0.56329,1.02195,1.05271,1.233,0.000548,0.000548,0.000548
24,3230.49,0.67544,0.5916,1.06541,0.76138,0.73415,0.77812,0.59384,0.85225,0.94321,1.14007,0.000482,0.000482,0.000482
25,3379.29,0.64116,0.55198,1.0473,0.78014,0.74336,0.80586,0.62443,0.90258,0.92311,1.14591,0.000416,0.000416,0.000416
26,3529.22,0.63022,0.52261,1.02531,0.68873,0.79646,0.76767,0.5942,0.89447,0.96242,1.14269,0.00035,0.00035,0.00035
27,3676.54,0.63363,0.49813,1.03377,0.71509,0.79963,0.79037,0.5993,0.92726,0.93511,1.13708,0.000284,0.000284,0.000284
28,3820.19,0.60925,0.4769,1.02392,0.78605,0.74783,0.80023,0.59604,0.94802,0.89904,1.14845,0.000218,0.000218,0.000218
29,3944.02,0.6022,0.46465,0.99317,0.78073,0.71681,0.79027,0.60395,0.84069,0.99996,1.12434,0.000152,0.000152,0.000152
30,4067.07,0.57898,0.44472,0.99831,0.80299,0.70796,0.80032,0.6168,0.88241,0.90063,1.12266,8.6e-05,8.6e-05,8.6e-05
